label,week_avg_temp,week_avg_rain,week_avg_humidity
20년 33주,27.343,34.7,82.586
20년 34주,27.4,15.233,76.329
20년 35주,26.471,15.957,84.886
20년 36주,22.1,19.7,77.271
20년 37주,21.957,2.22,76.886
20년 38주,20.314,0.3,60.071
20년 39주,20.043,38.3,65.871
20년 40주,16.857,0.0,64.886
20년 41주,15.829,,57.557
20년 42주,13.514,,63.829
20년 43주,11.9,0.0,60.771
20년 44주,10.114,5.267,53.929
20년 45주,9.814,0.1,55.414
20년 46주,13.014,6.15,71.329
20년 47주,5.386,22.975,70.457
20년 48주,1.757,0.0,54.486
20년 49주,1.586,,56.214
20년 50주,-1.714,1.45,58.457
20년 51주,-1.471,0.067,58.257
20년 52주,0.814,0.5,62.929
20년 53주,-5.729,0.575,51.457
21년 1주,-8.271,1.3,59.5
21년 2주,-2.057,0.167,53.1
21년 3주,5.686,3.667,68.171
21년 4주,-1.943,1.32,56.071
21년 5주,1.086,0.1,62.843
21년 6주,2.414,0.725,56.771
21년 7주,3.729,,52.014
21년 8주,5.871,33.8,57.0
21년 9주,7.343,,63.671
21년 10주,9.543,1.0,58.314
21년 11주,9.829,2.7,59.829
21년 12주,11.586,11.633,63.457
21년 13주,14.6,18.933,51.643
21년 14주,12.4,15.0,53.086
21년 15주,12.643,0.35,58.1
21년 16주,17.5,1.6,50.086
21년 17주,12.9,9.933,69.714
21년 18주,16.257,4.4,54.343
21년 19주,20.086,28.333,72.514
21년 20주,17.929,3.26,67.4
21년 21주,18.314,7.8,77.1
21년 22주,21.7,6.067,69.729
21년 23주,23.857,4.2,72.571
21년 24주,22.271,3.45,73.743
21년 25주,23.757,11.36,74.8
21년 26주,24.629,31.367,77.714
21년 27주,27.1,0.95,78.386
21년 28주,28.771,16.85,69.286
21년 29주,31.186,0.0,59.657
21년 30주,28.629,6.425,73.543
21년 31주,27.957,6.35,67.357
21년 32주,26.271,3.725,65.243
21년 33주,24.514,13.5,79.814
21년 34주,23.043,13.45,83.614
21년 35주,22.6,14.4,71.171
21년 36주,24.043,,68.3
21년 37주,22.843,36.3,68.314
21년 38주,21.4,4.8,72.143
