연도,주차,아형,인플루엔자 검출률
2025,3,A(H3N2),15.7
2025,2,A(H3N2),16.9
2025,1,A(H3N2),23.6
2024,53,A(H3N2),14.9
2024,52,A(H3N2),14.9
2024,51,A(H3N2),10.6
2024,50,A(H3N2),7.8
2024,49,A(H3N2),4.3
2024,48,A(H3N2),2.9
2024,47,A(H3N2),0.3
2024,46,A(H3N2),2.9
2024,45,A(H3N2),1.2
2024,44,A(H3N2),0.3
2024,43,A(H3N2),0.3
2024,42,A(H3N2),1.2
2024,41,A(H3N2),0.7
2024,40,A(H3N2),0.0
2024,39,A(H3N2),0.4
2024,38,A(H3N2),0.0
2024,37,A(H3N2),0.3
2024,36,A(H3N2),0.0
2025,35,B,0.0
2025,34,B,0.0
2025,33,B,0.0
2025,32,B,0.0
2025,31,B,0.7
2025,30,B,0.4
2025,29,B,0.4
2025,28,B,1.0
2025,27,B,1.5
2025,26,B,0.8
2025,25,B,1.0
2025,24,B,2.3
2025,23,B,5.0
2025,22,B,3.2
2025,21,B,3.1
2025,20,B,9.8
2025,19,B,11.9
2025,18,B,16.7
2025,17,B,28.3
2025,16,B,26.2
2025,15,B,25.0
2025,14,B,21.1
2025,13,B,19.8
2025,12,B,15.3
2025,11,B,12.8
2025,10,B,8.6
2025,9,B,9.4
2025,8,B,5.7
2025,7,B,7.3
2025,6,B,4.7
2025,5,B,4.9
2025,4,B,3.2
2025,3,B,1.4
2025,2,B,1.7
2025,1,B,1.8
2024,53,B,1.4
2024,52,B,1.4
2024,51,B,0.2
2024,50,B,0.0
2024,49,B,0.6
2024,48,B,0.3
2024,47,B,0.0
2024,46,B,0.0
2024,45,B,0.3
2024,44,B,0.0
2024,43,B,0.3
2024,42,B,0.0
2024,41,B,1.1
2024,40,B,0.0
2024,39,B,0.0
2024,38,B,0.0
2024,37,B,0.0
2024,36,B,0.0
2025,35,검출률,1.1
2025,34,검출률,1.4
2025,33,검출률,0.4
2025,32,검출률,0.3
2025,31,검출률,1.8
2025,30,검출률,1.5
2025,29,검출률,0.4
2025,28,검출률,1.7
2025,27,검출률,2.3
2025,26,검출률,1.1
2025,25,검출률,1.7
2025,24,검출률,2.3
2025,23,검출률,5.4
2025,22,검출률,3.5
2025,21,검출률,3.1
2025,20,검출률,10.1
2025,19,검출률,12.4
2025,18,검출률,17.0
2025,17,검출률,28.8
2025,16,검출률,28.0
2025,15,검출률,25.7
2025,14,검출률,22.5
2025,13,검출률,21.0
2025,12,검출률,17.2
2025,11,검출률,15.9
2025,10,검출률,12.3
2025,9,검출률,13.9
2025,8,검출률,12.1
2025,7,검출률,14.8
2025,6,검출률,14.2
2025,5,검출률,24.6
2025,4,검출률,36.4
2025,3,검출률,45.6
2025,2,검출률,55.0
2025,1,검출률,62.9
2024,53,검출률,50.9
2024,52,검출률,50.9
2024,51,검출률,29.0
2024,50,검출률,15.2
2024,49,검출률,9.3
2024,48,검출률,5.1
2024,47,검출률,1.4
2024,46,검출률,3.6
2024,45,검출률,2.6
2024,44,검출률,0.7
2024,43,검출률,1.4
2024,42,검출률,1.6
2024,41,검출률,2.2
2024,40,검출률,0.5
2024,39,검출률,0.4
2024,38,검출률,1.5
2024,37,검출률,0.3
2024,36,검출률,0.3
